Geneid	groups	description
PBANKA_0100200	1	Plasmodium exported protein, unknown function
PBANKA_0101100	1	liver merozoite formation protein
PBANKA_0101400	1	SAC3 domain-containing protein, putative
PBANKA_0102200	1	trophozoite exported protein 1, putative
PBANKA_0102900	1	AP2 domain transcription factor, putative
PBANKA_0103200	1	conserved protein, unknown function
PBANKA_0105100	1	conserved Plasmodium protein, unknown function
PBANKA_0105500	1	glutaredoxin-like protein
PBANKA_0105900	1	uroporphyrinogen III decarboxylase
PBANKA_0106900	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0109700	1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin, putative
PBANKA_0109800	1	conserved protein, unknown function
PBANKA_0110100	1	conserved Plasmodium protein, unknown function
PBANKA_0110500	1	leucine-rich repeat protein
PBANKA_0110600	1	transmembrane protein 234, putative
PBANKA_0110700	1	conserved Plasmodium protein, unknown function
PBANKA_0110800	1	conserved Plasmodium protein, unknown function
PBANKA_0112600	1	fam-b protein
PBANKA_0112641	1	fam-b protein
PBANKA_0200700	1	fam-b protein
PBANKA_0201800	1	TatD-like deoxyribonuclease
PBANKA_0202600	1	conserved protein, unknown function
PBANKA_0204500	1	LCCL domain-containing protein, putative
PBANKA_0205600	1	double-strand break repair protein MRE11, putative
PBANKA_0206000	1	ATP synthase-associated protein, putative
PBANKA_0207200	1	V-type proton ATPase subunit C, putative
PBANKA_0207500	1	cyclin-dependent kinases regulatory subunit, putative
PBANKA_0208300	1	novel putative transporter 1
PBANKA_0208600	1	conserved protein, unknown function
PBANKA_0210500	1	conserved Plasmodium protein, unknown function
PBANKA_0210600	1	ubiquitin carboxyl-terminal hydrolase, putative
PBANKA_0211200	1	conserved protein, unknown function
PBANKA_0211700	1	conserved Plasmodium protein, unknown function
PBANKA_0212300	1	actin-like protein, putative
PBANKA_0212800	1	alpha/beta hydrolase, putative
PBANKA_0213600	1	N6-adenosine-methyltransferase MT-A70, putative
PBANKA_0213900	1	dynein light chain, putative
PBANKA_0214100	1	conserved protein, unknown function
PBANKA_0214200	1	tRNA pseudouridine synthase D, putative
PBANKA_0214800	1	heat shock protein, putative
PBANKA_0216741	1	lysophospholipase, putative, pseudogene
PBANKA_0301700	1	5'-3' exonuclease, putative
PBANKA_0302000	1	conserved Plasmodium protein, unknown function
PBANKA_0302600	1	3'-5' exonuclease, putative
PBANKA_0304600	1	iron-sulfur assembly protein, putative
PBANKA_0305900	1	conserved Plasmodium protein, unknown function
PBANKA_0306900	1	Sec61-gamma subunit of protein translocation complex, putative
PBANKA_0307600	1	syntaxin, putative
PBANKA_0307800	1	conserved Plasmodium protein, unknown function
PBANKA_0309700	1	multidrug efflux pump, putative
PBANKA_0309900	1	conserved protein, unknown function
PBANKA_0310100	1	conserved protein, unknown function
PBANKA_0310300	1	protein kinase 7
PBANKA_0310700	1	conserved protein, unknown function
PBANKA_0311300	1	conserved Plasmodium protein, unknown function
PBANKA_0311400	1	serine/threonine protein kinase STK2
PBANKA_0312700	1	DEAD/DEAH box helicase, putative
PBANKA_0314800	1	conserved protein, unknown function
PBANKA_0316400	1	PIR protein, pseudogene
PBANKA_0405700	1	ATP-dependent Clp protease proteolytic subunit, putative
PBANKA_0406800	1	pre-mRNA-processing factor 19, putative
PBANKA_0407200	1	dual specificity protein phosphatase
PBANKA_0408700	1	trafficking protein particle complex subunit 4, putative
PBANKA_0409500	1	conserved protein, unknown function
PBANKA_0409800	1	ATP synthase F0 subunit d-like protein, putative
PBANKA_0410700	1	conserved Plasmodium protein, unknown function
PBANKA_0411500	1	conserved Plasmodium protein, unknown function
PBANKA_0411900	1	conserved Plasmodium protein, unknown function
PBANKA_0412700	1	zinc finger protein, putative
PBANKA_0413500	1	conserved Plasmodium protein, unknown function
PBANKA_0414900	1	dynein intermediate light chain, putative
PBANKA_0415300	1	exoribonuclease II, putative
PBANKA_0415500	1	coatomer subunit beta, putative
PBANKA_0417000	1	signal peptidase complex subunit 3, putative
PBANKA_0418100	1	conserved protein, unknown function
PBANKA_0418400	1	conserved protein, unknown function
PBANKA_0500971	1	PIR protein
PBANKA_0501500	1	enoyl-CoA hydratase-related protein, putative
PBANKA_0502000	1	conserved Plasmodium protein, unknown function
PBANKA_0502100	1	conserved Plasmodium protein, unknown function
PBANKA_0502650	1	conserved Plasmodium protein, unknown function
